sigungu,sigungu_code,dong,dong_code,boundary_wkt,admin_dong_code,gu_code
송파구,11240,방이1동,1124057,"POLYGON ((127.12314046744862 37.51178484111041, 127.13010227983818 37.50893147940457, 127.12601715489286 37.502566431166045, 127.12454553610858 37.50257189817014, 127.11877175325546 37.50495689262354, 127.12314046744862 37.51178484111041))",1171056100,11710
송파구,11240,마천2동,1124056,"POLYGON ((127.14408770104095 37.496623440512806, 127.14648692309005 37.50158308598683, 127.16086308579277 37.49886565522751, 127.16221160119412 37.49435439117592, 127.15865753093507 37.495594767385334, 127.15108684456172 37.49347790471909, 127.14869521677802 37.4951743903677, 127.14408770104095 37.496623440512806))",1171055000,11710
송파구,11240,마천1동,1124055,"POLYGON ((127.15108684456172 37.49347790471909, 127.15865753093507 37.495594767385334, 127.16221160119412 37.49435439117592, 127.1597960174098 37.4873645011712, 127.15108684456172 37.49347790471909))",1171054000,11710
송파구,11240,거여2동,1124054,"POLYGON ((127.14869521677802 37.4951743903677, 127.15108684456172 37.49347790471909, 127.1597960174098 37.4873645011712, 127.15393282790794 37.48483891408459, 127.15147990997852 37.47745324805034, 127.14464451147558 37.47903294823633, 127.14226829397522 37.48153296194719, 127.14479754461443 37.486243853071905, 127.14869521677802 37.4951743903677))",1171053200,11710
송파구,11240,거여1동,1124053,"POLYGON ((127.14408770104095 37.496623440512806, 127.14869521677802 37.4951743903677, 127.14479754461443 37.486243853071905, 127.14014217453096 37.48803044089965, 127.14007677473411 37.49149638593564, 127.1413904172007 37.49285157653214, 127.14408770104095 37.496623440512806))",1171053100,11710
송파구,11240,풍납2동,1124052,"POLYGON ((127.10626975478488 37.53320246924532, 127.11304803679042 37.53323632740019, 127.12337386349152 37.53030612633618, 127.12127423206992 37.5252637914794, 127.1185171541772 37.52116117426451, 127.10692849040475 37.52108916220014, 127.101068120931 37.525151938900564, 127.10531319401831 37.53186404698371, 127.10626975478488 37.53320246924532))",1171052000,11710
송파구,11240,풍납1동,1124051,"POLYGON ((127.1116764203608 37.540669955324965, 127.12532464331997 37.53572787912298, 127.12337386349152 37.53030612633618, 127.11304803679042 37.53323632740019, 127.10626975478488 37.53320246924532, 127.1116764203608 37.540669955324965))",1171051000,11710
강남구,11230,개포2동,1123080,"POLYGON ((127.07394407641691 37.490219908941526, 127.07831697796368 37.48978382345622, 127.07955765330033 37.48431726402668, 127.07496933809618 37.475920723613505, 127.0792709266303 37.47220180263369, 127.07135137525977 37.47107802023145, 127.05862774489128 37.48485501136302, 127.05866574786786 37.484875268285805, 127.06763773042414 37.487263687924894, 127.07394407641691 37.490219908941526))",1168067000,11680
강남구,11230,대치2동,1123079,"POLYGON ((127.07091156739416 37.50719902959034, 127.0719146000724 37.50224013587669, 127.07528960655267 37.49932614743975, 127.07759949729024 37.49839572885325, 127.07394407641691 37.490219908941526, 127.06763773042414 37.487263687924894, 127.06296770120233 37.496068529964205, 127.05879877483423 37.504050964816194, 127.07057106587357 37.50748081931759, 127.07091156739416 37.50719902959034))",1168061000,11680
강남구,11230,청담동,1123078,"POLYGON ((127.05116490008963 37.52975116557232, 127.05867359288398 37.52629974922568, 127.06737268086228 37.5228018732759, 127.06365597242453 37.518924048557444, 127.05237890906925 37.51605001646398, 127.04426529288817 37.51461391134843, 127.04128354419875 37.52010346103419, 127.0458959378645 37.52425115144997, 127.04806779588436 37.52970198575087, 127.05116490008963 37.52975116557232))",1168056500,11680
강남구,11230,압구정동,1123077,"POLYGON ((127.03038815978167 37.5357278833247, 127.0319617044248 37.536064291470424, 127.04806779588436 37.52970198575087, 127.0458959378645 37.52425115144997, 127.04128354419875 37.52010346103419, 127.03018252439756 37.51678177148938, 127.03072620802452 37.52381134651025, 127.0236688023869 37.53273057382971, 127.02780424413358 37.53506389757521, 127.03038815978167 37.5357278833247))",1168054500,11680
강남구,11230,세곡동,1123076,"POLYGON ((127.11314705595287 37.480127870880345, 127.12265007208167 37.46756987490939, 127.12440571080893 37.46240445587048, 127.11957248720776 37.45936217377656, 127.10841788934951 37.45972888008147, 127.10561257180657 37.456815702518746, 127.10032466845217 37.45598440195682, 127.09842759318751 37.45862253857461, 127.0866005634691 37.47006403057779, 127.08727101192895 37.472465566199986, 127.09510067486981 37.474453413329506, 127.09945312663469 37.475272759096235, 127.1000935746333 37.47939253962789, 127.10560682685214 37.482955125022336, 127.10771415071433 37.47993429093454, 127.11314705595287 37.480127870880345))",1168070000,11680
