place_id,place_name,alias_names,gu,admin_dong,latitude,longitude,nx,ny,mapping_method,grid_distance_m,source_admin_code
seoul_admd_1121578000,능동,능동,광진구,능동,37.5510277777777,127.082644444444,62,126,kma_admin_dong_grid_20260325,2843,1121578000
seoul_admd_1121581000,광장동,광장동,광진구,광장동,37.5442138888888,127.105308333333,62,126,kma_admin_dong_grid_20260325,1297,1121581000
seoul_admd_1121582000,자양제1동,자양제1동|자양1동,광진구,자양제1동,37.5316861111111,127.084419444444,62,126,kma_admin_dong_grid_20260325,1811,1121582000
seoul_admd_1121583000,자양제2동,자양제2동|자양2동,광진구,자양제2동,37.5259999999999,127.086599999999,62,126,kma_admin_dong_grid_20260325,1773,1121583000
seoul_admd_1121584000,자양제3동,자양제3동|자양3동,광진구,자양제3동,37.5310333333333,127.075030555555,61,126,kma_admin_dong_grid_20260325,2502,1121584000
seoul_admd_1121584700,자양제4동,자양제4동|자양4동,광진구,자양제4동,37.5374861111111,127.067252777777,61,126,kma_admin_dong_grid_20260325,1868,1121584700
seoul_admd_1121585000,구의제1동,구의제1동|구의1동,광진구,구의제1동,37.5396749999999,127.087866666666,62,126,kma_admin_dong_grid_20260325,1700,1121585000
seoul_admd_1121586000,구의제2동,구의제2동|구의2동,광진구,구의제2동,37.5444388888888,127.092108333333,62,126,kma_admin_dong_grid_20260325,1739,1121586000
seoul_admd_1121587000,구의제3동,구의제3동|구의3동,광진구,구의제3동,37.5361388888888,127.099688888888,62,126,kma_admin_dong_grid_20260325,610,1121587000
seoul_admd_1123051500,신설동,신설동,동대문구,신설동,37.573965968076863,127.0257363329322,61,127,kma_admin_dong_grid_20260325,2011,1123051500
seoul_admd_1123053300,용두동,용두동,동대문구,용두동,37.575803179010208,127.0372469975724,61,127,kma_admin_dong_grid_20260325,986,1123053300
seoul_admd_1123054500,제기동,제기동,동대문구,제기동,37.5830767,127.0377843,61,127,kma_admin_dong_grid_20260325,958,1123054500
seoul_admd_1123056000,전농제1동,전농제1동|전농1동,동대문구,전농제1동,37.5752111111111,127.049866666666,61,127,kma_admin_dong_grid_20260325,497,1123056000
seoul_admd_1123057000,전농제2동,전농제2동|전농2동,동대문구,전농제2동,37.5817027777777,127.053863888888,61,127,kma_admin_dong_grid_20260325,619,1123057000
seoul_admd_1123060000,답십리제1동,답십리제1동|답십리1동,동대문구,답십리제1동,37.569275,127.054222222222,61,127,kma_admin_dong_grid_20260325,1259,1123060000
seoul_admd_1123061000,답십리제2동,답십리제2동|답십리2동,동대문구,답십리제2동,37.5691527777777,127.061574999999,61,127,kma_admin_dong_grid_20260325,1673,1123061000
seoul_admd_1123065000,장안제1동,장안제1동|장안1동,동대문구,장안제1동,37.5649861111111,127.068477777777,61,127,kma_admin_dong_grid_20260325,2436,1123065000
seoul_admd_1123066000,장안제2동,장안제2동|장안2동,동대문구,장안제2동,37.5684083333333,127.075308333333,61,127,kma_admin_dong_grid_20260325,2729,1123066000
seoul_admd_1123070500,청량리동,청량리동,동대문구,청량리동,37.5862586,127.0472767,61,127,kma_admin_dong_grid_20260325,776,1123070500
seoul_admd_1123071000,회기동,회기동,동대문구,회기동,37.5880083333333,127.057488888888,61,127,kma_admin_dong_grid_20260325,1307,1123071000
seoul_admd_1123072000,휘경제1동,휘경제1동|휘경1동,동대문구,휘경제1동,37.5901583333333,127.067819444444,61,127,kma_admin_dong_grid_20260325,2157,1123072000
seoul_admd_1123073000,휘경제2동,휘경제2동|휘경2동,동대문구,휘경제2동,37.5884944444444,127.069655555555,61,127,kma_admin_dong_grid_20260325,2201,1123073000
seoul_admd_1123074000,이문제1동,이문제1동|이문1동,동대문구,이문제1동,37.595,127.067630555555,61,127,kma_admin_dong_grid_20260325,2487,1123074000
seoul_admd_1123075000,이문제2동,이문제2동|이문2동,동대문구,이문제2동,37.5917305555555,127.058619444444,61,127,kma_admin_dong_grid_20260325,1693,1123075000
seoul_admd_1126052000,면목제2동,면목제2동|면목2동,중랑구,면목제2동,37.5869833333333,127.081133333333,62,127,kma_admin_dong_grid_20260325,2357,1126052000
seoul_admd_1126054000,면목제4동,면목제4동|면목4동,중랑구,면목제4동,37.5718166666666,127.087622222222,62,127,kma_admin_dong_grid_20260325,1768,1126054000
seoul_admd_1126055000,면목제5동,면목제5동|면목5동,중랑구,면목제5동,37.5830472222222,127.081722222222,62,127,kma_admin_dong_grid_20260325,2171,1126055000
seoul_admd_1126056500,면목본동,면목본동,중랑구,면목본동,37.5845611111111,127.089677777777,62,127,kma_admin_dong_grid_20260325,1559,1126056500
seoul_admd_1126057000,면목제7동,면목제7동|면목7동,중랑구,면목제7동,37.5762,127.089086111111,62,127,kma_admin_dong_grid_20260325,1492,1126057000
seoul_admd_1126057500,면목제3.8동,면목제3.8동|면목3.8동,중랑구,면목제3.8동,37.5802361111111,127.090219444444,62,127,kma_admin_dong_grid_20260325,1378,1126057500
seoul_admd_1126058000,상봉제1동,상봉제1동|상봉1동,중랑구,상봉제1동,37.5970277777777,127.089288888888,62,127,kma_admin_dong_grid_20260325,2504,1126058000
seoul_admd_1126059000,상봉제2동,상봉제2동|상봉2동,중랑구,상봉제2동,37.5896111111111,127.085388888888,62,127,kma_admin_dong_grid_20260325,2167,1126059000
seoul_admd_1126060000,중화제1동,중화제1동|중화1동,중랑구,중화제1동,37.5983861111111,127.082777777777,62,127,kma_admin_dong_grid_20260325,2983,1126060000
seoul_admd_1126061000,중화제2동,중화제2동|중화2동,중랑구,중화제2동,37.5922166666666,127.077022222222,62,127,kma_admin_dong_grid_20260325,2945,1126061000
seoul_admd_1126062000,묵제1동,묵제1동|묵1동,중랑구,묵제1동,37.6096222222222,127.080586111111,62,128,kma_admin_dong_grid_20260325,2840,1126062000
seoul_admd_1126063000,묵제2동,묵제2동|묵2동,중랑구,묵제2동,37.6067972222222,127.078144444444,62,128,kma_admin_dong_grid_20260325,3202,1126063000
seoul_admd_1126065500,망우본동,망우본동,중랑구,망우본동,37.5986916666666,127.108463888888,62,127,kma_admin_dong_grid_20260325,2240,1126065500
seoul_admd_1126066000,망우제3동,망우제3동|망우3동,중랑구,망우제3동,37.5895777777777,127.100266666666,62,127,kma_admin_dong_grid_20260325,1306,1126066000
seoul_admd_1126068000,신내1동,신내1동,중랑구,신내1동,37.6030833333333,127.101552777777,62,128,kma_admin_dong_grid_20260325,2452,1126068000
seoul_admd_1126069000,신내2동,신내2동,중랑구,신내2동,37.6034305555555,127.096274999999,62,128,kma_admin_dong_grid_20260325,2540,1126069000
seoul_admd_1129052500,성북동,성북동,성북구,성북동,37.5874416666666,127.006086111111,60,127,kma_admin_dong_grid_20260325,1698,1129052500
seoul_admd_1129055500,삼선동,삼선동,성북구,삼선동,37.5828472222222,127.009555555555,60,127,kma_admin_dong_grid_20260325,1811,1129055500
seoul_admd_1129057500,동선동,동선동,성북구,동선동,37.5912777777777,127.022508333333,61,127,kma_admin_dong_grid_20260325,2578,1129057500
seoul_admd_1129058000,돈암제1동,돈암제1동|돈암1동,성북구,돈암제1동,37.6005083333333,127.028288888888,61,127,kma_admin_dong_grid_20260325,2906,1129058000
seoul_admd_1129059000,돈암제2동,돈암제2동|돈암2동,성북구,돈암제2동,37.5952555555555,127.012711111111,60,127,kma_admin_dong_grid_20260325,2676,1129059000
seoul_admd_1129060000,안암동,안암동,성북구,안암동,37.5830583333333,127.023477777777,61,127,kma_admin_dong_grid_20260325,2162,1129060000
seoul_admd_1129061000,보문동,보문동,성북구,보문동,37.5775888888888,127.0249,61,127,kma_admin_dong_grid_20260325,2004,1129061000
seoul_admd_1129062000,정릉제1동,정릉제1동|정릉1동,성북구,정릉제1동,37.5986416666666,127.018741666666,60,127,kma_admin_dong_grid_20260325,3326,1129062000
seoul_admd_1129063000,정릉제2동,정릉제2동|정릉2동,성북구,정릉제2동,37.6016666666666,127.013241666666,60,127,kma_admin_dong_grid_20260325,3210,1129063000
seoul_admd_1129064000,정릉제3동,정릉제3동|정릉3동,성북구,정릉제3동,37.6061666666666,127.006288888888,60,128,kma_admin_dong_grid_20260325,2627,1129064000
seoul_admd_1129065000,정릉제4동,정릉제4동|정릉4동,성북구,정릉제4동,37.6107861111111,127.008208333333,60,128,kma_admin_dong_grid_20260325,2326,1129065000
seoul_admd_1129066000,길음제1동,길음제1동|길음1동,성북구,길음제1동,37.6017833333333,127.024166666666,61,127,kma_admin_dong_grid_20260325,3241,1129066000
seoul_admd_1129068500,길음제2동,길음제2동|길음2동,성북구,길음제2동,37.60385,127.0294,61,128,kma_admin_dong_grid_20260325,2918,1129068500
seoul_admd_1129070500,종암동,종암동,성북구,종암동,37.5973305555555,127.033552777777,61,127,kma_admin_dong_grid_20260325,2355,1129070500
seoul_admd_1129071500,월곡제1동,월곡제1동|월곡1동,성북구,월곡제1동,37.6042027777777,127.036141666666,61,128,kma_admin_dong_grid_20260325,2589,1129071500
seoul_admd_1129072500,월곡제2동,월곡제2동|월곡2동,성북구,월곡제2동,37.5999416666666,127.041688888888,61,127,kma_admin_dong_grid_20260325,2354,1129072500
seoul_admd_1129076000,장위제1동,장위제1동|장위1동,성북구,장위제1동,37.6111916666666,127.045855555555,61,128,kma_admin_dong_grid_20260325,1595,1129076000
seoul_admd_1129077000,장위제2동,장위제2동|장위2동,성북구,장위제2동,37.6096638888888,127.056708333333,61,128,kma_admin_dong_grid_20260325,1900,1129077000
seoul_admd_1129078000,장위제3동,장위제3동|장위3동,성북구,장위제3동,37.6137722222222,127.058722222222,61,128,kma_admin_dong_grid_20260325,1586,1129078000
